apk_entry,bytes,width,height,transparent_ratio,opaque_ratio,partial_alpha_ratio,unique_colors_64px,avg_rgb_stddev_64px,score,reasons
res/cb4.png,16171,192,192,0.165,0.7203,0.1147,1398,73.22,4,alpha+square
res/cb_.png,15174,192,192,0.1653,0.7203,0.1144,1205,71.69,4,alpha+square
res/ccK.png,9961,192,192,0.1651,0.7202,0.1147,817,104.37,4,alpha+square
res/cdF.png,16684,192,192,0.165,0.7203,0.1147,1274,74.76,4,alpha+square
res/ceF.png,10998,192,192,0.165,0.7203,0.1147,707,85.32,4,alpha+square
res/ceQ.png,8578,192,192,0.1653,0.7203,0.1144,774,93.2,4,alpha+square
res/ceT.png,10334,192,192,0.1653,0.7203,0.1144,851,92.18,4,alpha+square
res/ceu.png,12242,192,192,0.165,0.7203,0.1147,962,66.43,4,alpha+square
res/cfh.png,11254,192,192,0.165,0.7203,0.1147,507,107.29,4,alpha+square
res/cfx.png,14182,192,192,0.1615,0.7203,0.1182,877,85.8,4,alpha+square
res/cg1.png,11421,192,192,0.1653,0.7203,0.1144,1129,86.83,4,alpha+square
res/cgT.png,14941,192,192,0.165,0.7203,0.1147,1219,70.36,4,alpha+square
res/ch-.png,20962,192,192,0.1655,0.7136,0.1209,1061,89.96,4,alpha+square
res/ch9.png,11133,192,192,0.165,0.7203,0.1147,865,84.26,4,alpha+square
res/chD.png,10497,192,192,0.165,0.7203,0.1147,878,84.58,4,alpha+square
res/ci3.png,14892,192,192,0.1653,0.7203,0.1144,1058,82.79,4,alpha+square
res/cjZ.png,10808,192,192,0.165,0.7203,0.1147,875,86.21,4,alpha+square
res/ckE.png,10831,192,192,0.165,0.7203,0.1147,749,84.99,4,alpha+square
res/ckl.png,8547,192,192,0.1653,0.7203,0.1144,679,90.74,4,alpha+square
res/cko.png,11686,192,192,0.165,0.7203,0.1147,927,75.7,4,alpha+square
res/clk.png,13284,192,192,0.1653,0.7203,0.1144,949,77.18,4,alpha+square
res/cm2.png,11488,192,192,0.165,0.7203,0.1147,951,86.21,4,alpha+square
res/cms.png,12910,192,192,0.1653,0.7203,0.1144,1034,74.66,4,alpha+square
res/cnX.png,19192,192,192,0.1681,0.7136,0.1183,1164,75.31,4,alpha+square
res/cnk.png,14409,192,192,0.165,0.7203,0.1147,1076,82.74,4,alpha+square
res/cot.png,14889,192,192,0.1653,0.7203,0.1144,1037,80.16,4,alpha+square
res/cpM.png,15241,192,192,0.1653,0.7203,0.1144,1385,66.0,4,alpha+square
res/cpk.png,15068,192,192,0.165,0.7203,0.1147,1005,64.87,4,alpha+square
res/cu-.png,17835,192,192,0.1623,0.7161,0.1216,1091,82.99,4,alpha+square
res/cu_.png,14964,192,192,0.1653,0.7203,0.1144,1337,77.49,4,alpha+square
res/cvr.png,16418,192,192,0.165,0.7203,0.1147,1506,75.32,4,alpha+square
res/cyA.png,20131,192,192,0.1681,0.7136,0.1183,1212,78.07,4,alpha+square
res/cyM.png,8798,192,192,0.165,0.7203,0.1147,847,92.62,4,alpha+square
res/cya.png,15067,192,192,0.165,0.7203,0.1147,1036,84.03,4,alpha+square
res/cyx.png,17420,192,192,0.1684,0.7133,0.1183,1059,76.15,4,alpha+square
res/czh.png,13936,192,192,0.165,0.7203,0.1147,1083,79.78,4,alpha+square
res/d-B.png,9500,192,192,0.1653,0.7203,0.1144,735,101.14,4,alpha+square
res/d-T.png,13111,192,192,0.165,0.7203,0.1147,729,70.11,4,alpha+square
res/d-k.png,43443,192,192,0.1653,0.7203,0.1144,2740,90.29,4,alpha+square
res/d1L.png,19208,192,192,0.165,0.7203,0.1147,1872,83.81,4,alpha+square
res/d20.png,14470,192,192,0.1652,0.7203,0.1145,1166,79.3,4,alpha+square
res/d3v.png,13423,192,192,0.1651,0.7202,0.1147,855,87.73,4,alpha+square
res/d5G.png,16795,192,192,0.165,0.7203,0.1147,1472,70.38,4,alpha+square
res/d7k.png,10133,192,192,0.1653,0.7203,0.1144,929,69.13,4,alpha+square
res/d7l.png,13245,192,192,0.165,0.7203,0.1147,744,67.58,4,alpha+square
res/d8P.png,15336,192,192,0.165,0.7203,0.1147,1224,89.91,4,alpha+square
res/d8s.png,11788,192,192,0.2539,0.6404,0.1057,948,83.45,4,alpha+square
res/d97.png,13330,192,192,0.1653,0.7203,0.1144,993,86.68,4,alpha+square
res/d9M.png,12080,192,192,0.1653,0.7203,0.1144,931,57.29,4,alpha+square
res/d9r.png,11015,192,192,0.1653,0.7203,0.1144,943,83.89,4,alpha+square
res/dB_.png,12046,192,192,0.165,0.7203,0.1147,699,74.78,4,alpha+square
res/dCg.png,13405,192,192,0.1653,0.7203,0.1144,1247,79.12,4,alpha+square
res/dEJ.png,10279,192,192,0.1623,0.717,0.1207,487,67.39,4,alpha+square
res/dF-.png,20507,256,256,0.1644,0.7187,0.117,1341,95.74,4,alpha+square
res/dFl.png,14942,192,192,0.165,0.7203,0.1147,1383,82.82,4,alpha+square
res/dGj.png,6478,192,192,0.165,0.7203,0.1147,375,102.58,4,alpha+square
res/dGm.png,10723,192,192,0.165,0.7203,0.1147,854,82.18,4,alpha+square
res/dHJ.png,9227,192,192,0.165,0.7203,0.1147,638,68.67,4,alpha+square
res/dIe.png,11055,192,192,0.165,0.7203,0.1147,792,75.62,4,alpha+square
res/dIo.png,11879,192,192,0.1653,0.7203,0.1144,853,65.88,4,alpha+square
res/dJr.png,13867,192,192,0.1653,0.7203,0.1144,1110,90.3,4,alpha+square
